1418,461
1418,460
1419,460
1420,459
1421,459
1422,458
1423,457
1424,456
1425,456
1426,455
1427,454
1428,453
1429,453
1430,452
1430,451
1431,450
1432,449
1433,448
1433,447
1434,447
1435,446
1435,445
1436,444
1436,442
1436,441
1437,440
1437,439
1438,438
1438,437
1438,436
1439,435
1439,434
1439,432
1439,431
1439,430
1439,429
1439,428
1438,427
1438,425
1438,424
1438,423
1438,422
1437,421
1437,420
1437,419
1436,417
1436,416
1435,415
1435,414
1435,413
1434,412
1434,411
1433,410
1433,409
1433,408
1432,407
1432,406
1431,405
1431,403
1430,402
1430,401
1429,400
1429,399
1428,398
1428,397
1427,396
1427,395
1426,394
1425,393
1425,392
1424,391
1424,390
1423,389
1423,388
1422,387
1421,386
1421,385
1420,384
1420,383
1419,382
1419,381
1418,380
1417,379
1417,378
1416,377
1416,376
1415,375
1414,374
1414,373
1413,372
1412,371
1412,370
1411,369
1410,368
1410,367
1409,366
1409,365
1408,364
1407,363
1407,363
1406,362
1405,361
1404,360
1404,359
1403,358
1403,357
1402,356
1401,355
1400,354
1399,353
1399,353
1398,352
1397,351
1396,350
1396,349
1395,348
1394,347
1393,347
1392,346
1392,345
1391,344
1390,343
1389,343
1388,342
1387,341
1386,341
1385,340
1384,339
1383,339
1382,338
1381,338
1380,337
1379,337
1378,336
1377,336
1376,335
1375,335
1374,334
1372,334
1371,334
1370,333
1369,333
1368,333
1367,333
1366,332
1365,332
1363,332
1362,332
1361,332
1360,331
1359,331
1358,331
1357,331
1356,331
1354,331
1353,331
1352,331
1351,331
1350,332
1348,332
1347,332
1347,331
1346,331
1345,332
1344,332
1343,333
1342,333
1341,333
1339,333
1338,333
1337,334
1336,334
1335,334
1334,334
1332,334
1331,334
1330,335
1329,335
1328,335
1327,335
1326,336
1324,336
1323,336
1322,337
1321,337
1320,337
1319,337
1318,338
1316,338
1315,338
1314,338
1313,339
1312,339
1311,339
1310,340
1309,340
1308,341
1306,341
1305,341
1304,342
1303,342
1302,342
1301,343
1300,343
1299,344
1298,344
1297,344
1295,345
1294,345
1293,346
1292,346
1291,346
1290,347
1289,347
1288,348
1287,349
1286,349
1285,350
1284,350
1283,351
1282,351
1281,352
1279,352
1278,352
1277,353
1276,353
1275,354
1274,354
1273,355
1272,356
1271,356
1270,357
1269,357
1268,358
1267,358
1266,359
1265,359
1264,360
1263,361
1262,361
1261,362
1260,362
1259,363
1258,364
1257,364
1256,365
1255,366
1254,366
1253,367
1252,368
1251,368
1250,369
1250,369
1249,370
1248,371
1247,371
1246,372
1245,373
1244,374
1243,374
1242,375
1241,376
1240,376
1239,377
1238,378
1237,378
1236,379
1236,380
1235,381
1234,381
1233,382
1232,383
1231,383
1230,384
1229,385
1228,386
1227,387
1227,387
1226,388
1225,389
1224,389
1223,390
1222,391
1221,392
1221,393
1220,393
1219,394
1218,395
1217,396
1216,397
1215,397
1215,398
1214,399
1213,400
1212,401
1211,402
1210,402
1210,403
1209,404
1208,405
1207,406
1206,406
1206,407
1205,408
1204,409
